,names,nfollowers,ntweets,type
320,Paolo_Bandini,,21790,
321,Zonal_Marking,,124051,
322,JamesHorncastle,,53213,
323,melinaplatas,,1908,
324,JoeBiden,,1283,
325,billybragg,,19370,
326,TheTotallyShow,,402,
327,Marcotti,,91355,
328,FurmanCenterNYU,,5566,
329,SimpsonsQOTD,,7732,
330,juliehdavis,,5586,
331,RaySuarezNews,,4259,
332,Kaepernick7,,9917,
333,PolicingEquity,,1621,
334,MrJoshCharles,,18184,
335,jenniferdoleac,,7271,
336,brucebdm,,1,
337,pescami,,22054,
338,NYPDnews,,16307,
339,bostonmarathon,,3098,
340,NYCRUNS,,8173,
341,GWAS_lit,,1731,
342,NYPDONeill,,840,
343,thessgac,,12,
344,mollyeroberts,,138,
345,DenmarkinNY,,2657,
346,Scaramucci,,15955,
347,mtnance,,3095,
348,KenTremendous,,15863,
349,maggieNYT,,152116,
350,GeneticsSociety,,3853,
351,biorxiv_genetic,,640,
352,pamela_herd,,576,
353,CCRB_NYC,,278,
354,PreetBharara,,410,
355,ditzkoff,,14917,
356,PGCgenetics,,1034,
357,NickKristof,,31752,
358,POCalsoknow,,813,
359,cesicruz,,686,
360,starledger,,84775,
361,nps_nyharbor,,5627,
362,Peter_Turchin,,4980,
363,ethanbdm,,914,
364,NYPDSpecialops,,1358,
365,hyeyoungyou,,2172,
366,NPRinskeep,,26752,
367,robbeewedow,,161,
368,AysuOkbay,,6,
369,bendomingue,,705,
370,Danbelsky,,479,
371,StuartJRitchie,,33353,
372,jason_qiang_guo,,14,
373,_alfang,,163,
374,The7LineArmy,,1354,
375,The7Line,,76292,
376,mikepiazza31,,846,
377,behscientist,,2069,
378,pmartjo,,330,
379,Moshe_Hoffman,,1438,
380,5harad,,157,
381,NathanKalmoe,,8896,
382,WH_Visitor_Log,,315,
383,cstbtweet,,49338,
384,LasVegas51s,,14041,
385,mims,,99936,
386,theclientele,,868,
387,SamSeder,,17728,
388,NYCPlugged,,1931,
389,BlackCanyonNPS,,1256,
390,amandabittner,,10688,
391,CutestOtters,,11022,
392,des_linden,,1771,
393,womenalsoknow,,10668,
394,nyrrnews,,8999,
395,YellowstoneNPS,,4121,
396,adidasNYC,,720,
397,gracerauh,,8244,
